Title	URL	Assignees	Status	Labels	Effort Estimation	Effort Actual	Linked pull requests	Milestone
Setup Development Environment	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/1	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Feature Archive	domain: env-and-tooling, sprint-02	3		https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/8	
Create CI/CD pipeline for Github	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/12	preetvadaliya	In Progress	domain: env-and-tooling, sprint-02	3			
Create concept for the sources input functionality (config)	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/2	eloinoel, EnescuDavid	Awaiting Review	feature request, sprint-02	5	5	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/11	
Extend transcript extraction from YouTube	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/9	manikg08, preetvadaliya	Awaiting Review	domain: 3rd-party APIs, feature request, sprint-02	5			
Extract transcript from a single YouTube video locally	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/5	manikg08, preetvadaliya	Awaiting Review	domain: 3rd-party APIs, feature request, sprint-02	8			
Extract transcripts from podcasts	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/6	lukas-varga, potthoffjan	Awaiting Review	feature request, sprint-02	8			
Create architecture diagram and text description of the diagram	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/15	EnescuDavid, preetvadaliya	Awaiting Review	documentation, domain: amos formal requirements, sprint-02	3			
Create runtime components diagram and text descripton of the diagram	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/16	eloinoel, manikg08	Awaiting Review	documentation, domain: amos formal requirements, sprint-02	3			
Create text description for the tech stack	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/17	preetvadaliya	Awaiting Review	documentation, domain: amos formal requirements, sprint-02	3			
Review and edit runtime components diagram and text description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/19	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Awaiting Review	documentation, domain: amos formal requirements, sprint-02	3			
Review and edit architecture diagram and text description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/18	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Awaiting Review	documentation, domain: amos formal requirements, sprint-02				
Review and edit tech stack description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/20	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Awaiting Review	documentation, domain: amos formal requirements, sprint-02	3			
Create storage solution for extracted data in the server of the FAU HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/4		Product Backlog	domain: env-and-tooling, sprint-03	5			
Implement the "orchestrator" functionality	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/3	eloinoel, EnescuDavid	Product Backlog	feature request, sprint-03	8			
Extract data from academic repository PubMed Central (PMC) of the NIH	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/23		Product Backlog	domain: 3rd-party APIs, domain: data pipeline, feature request, sprint-03				
Extract data from recipe website Allrecipes	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/26		Product Backlog	domain: data pipeline, domain: storage, feature request, sprint-03				
Establish scraping pipeline to extract text data from Nutritionfacts.org	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/24		Product Backlog	domain: data pipeline, domain: storage, feature request, sprint-03				
Migration of the YouTube data extraction pipeline to the HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/27		Product Backlog	domain: data pipeline, domain: env-and-tooling, domain: storage, sprint-03				
Migration of the podcast transcription and data storage pipeline in the HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/28		Product Backlog	domain: data pipeline, domain: env-and-tooling, domain: storage, sprint-03				
Familiarise with the RAG technique and the LangChain framework	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/25		Product Backlog	domain: research (scrum spike), sprint-03				
Extract text content from academic repository: Arxiv	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/7		Product Backlog	domain: 3rd-party APIs, domain: data pipeline, domain: storage, feature request				
Extend config functionality to read sources from a file	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/14	eloinoel, EnescuDavid	Product Backlog	feature request	5			
Project Setup	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/8	preetvadaliya	Feature Archive	domain: env-and-tooling, sprint-02				