Title	URL	Assignees	Status	Labels	Linked pull requests	Sprint	Reviewers	Timing	Estimation	Milestone	Actual
Enhance Allrecipes scraper to include the latest orchestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/62	manikg08	Item Archive	domain: data pipeline, enhancement, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/78	Sprint 04		1-start	3	Part A: Data Acquisition 	3
Migration of the YouTube data extraction pipeline to GC	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/27	preetvadaliya	Item Archive	domain: data pipeline, domain: env-and-tooling, domain: storage, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		2-mid	8	Part A: Data Acquisition 	3
LangChain - Query Contruction	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/41	potthoffjan, preetvadaliya	Item Archive	domain: data pipeline, domain: storage, feature, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/83	Sprint 04		2-mid	8	Part B: LangChain Basic Pipeline for LLM 1	5
Create storage solution for extracted data in the server of the FAU HPC server	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/4	lukas-varga, preetvadaliya	Item Archive	domain: storage, question, re-evaluate necessity, sprint-03, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/34, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/42, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/80	Sprint 03		1-start	8	Part A: Data Acquisition 	3
LangChain - get on the same page	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/53	eloinoel, EnescuDavid, lukas-varga	Item Archive	research (scrum spike), sprint-04		Sprint 04		0-independent	5	Part B: LangChain Basic Pipeline for LLM 1	5
Extract recipe data from recipe website Allrecipes	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/26	manikg08	Item Archive	domain: data pipeline, domain: storage, feature, sprint-03, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/78	Sprint 04		0-independent	8	Part A: Data Acquisition 	8
Extract text content from academic repository: Arxiv	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/7	lukas-varga	Item Archive	domain: 3rd-party APIs, domain: data pipeline, domain: storage, feature, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/63	Sprint 04		2-mid	8	Part A: Data Acquisition 	5
Create the DB for extracted data in Google Cloud	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/48	eloinoel, preetvadaliya	Item Archive	domain: env-and-tooling, domain: storage, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		1-start	8	Part A: Data Acquisition 	5
Enhance Arxiv scraper to include the new orchestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/69	eloinoel, lukas-varga	Item Archive	domain: data pipeline, enhancement, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/79	Sprint 04		1-start	3	Part A: Data Acquisition 	5
Enhance YouTube scraper to include the new orhestrator methods	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/60	preetvadaliya	Item Archive	domain: 3rd-party APIs, domain: data pipeline, enhancement, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/76	Sprint 04		1-start	3	Part A: Data Acquisition 	5
Familiarise with the RAG technique and the LangChain framework	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/25	potthoffjan, tubamos	Item Archive	research (scrum spike), sprint-03, sprint-04		Sprint 04		0-independent	5	Part B: LangChain Basic Pipeline for LLM 1	5
Create CI/CD pipeline for Github	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/12	eloinoel, preetvadaliya	Item Archive	domain: env-and-tooling, sprint-03	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/33	Sprint 03		1-start	3	Part 0: Setup	3
Extract data from academic repository PubMed Central (PMC) of the NIH	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/23	eloinoel, potthoffjan	Item Archive	domain: 3rd-party APIs, domain: data pipeline, feature, sprint-03	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/44	Sprint 03		0-independent	8	Part A: Data Acquisition 	8
Implement the "orchestrator" functionality	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/3	eloinoel, EnescuDavid	Item Archive	domain: data pipeline, feature, sprint-03	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/43, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/97	Sprint 03		0-independent	8	Part A: Data Acquisition 	8
Extract transcripts from podcasts	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/6	lukas-varga, potthoffjan	Item Archive	feature, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/22, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/29, https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/65	Sprint 02		0-independent	8	Part A: Data Acquisition 	13
Extract transcript from a single YouTube video locally	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/5	manikg08, preetvadaliya	Item Archive	domain: 3rd-party APIs, feature, sprint-02		Sprint 02		0-independent	8	Part A: Data Acquisition 	3
Extend transcript extraction from YouTube	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/9	manikg08, preetvadaliya	Item Archive	domain: 3rd-party APIs, feature, sprint-02		Sprint 02		0-independent	5	Part A: Data Acquisition 	5
Create concept for the sources input functionality (config)	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/2	eloinoel, EnescuDavid	Item Archive	feature, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/11	Sprint 02		0-independent	5	Part A: Data Acquisition 	5
Setup Development Environment	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/1	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Item Archive	domain: env-and-tooling, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/8	Sprint 02		1-start	3	Part 0: Setup	3
Create automated PR	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/103	preetvadaliya	Item Archive	domain: env-and-tooling, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/104	Sprint 05		1-start	1	Part 0: Setup	1
(data) Finalize LangChain query construction	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/101	potthoffjan, preetvadaliya	In Progress	domain: 3rd-party APIs, domain: data pipeline, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/113	Sprint 05		1-start	5	Part B: LangChain Basic Pipeline for LLM 1	
(data acquisition) Integrate the NIH-PubMed scraper into the new orchestrator structure	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/88	eloinoel	In Progress	domain: data pipeline, enhancement, sprint-05		Sprint 05		0-independent	3	Part A: Data Acquisition 	
(App frontend) Create frontend interaction wireframes for the user app	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/93	EnescuDavid, preetvadaliya	In Progress	domain: app frontend, feature, sprint-05		Sprint 05		0-independent	8	Part C: Mobile App for User-Agent Interaction	
(documentation) Create build process video	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/98	eloinoel, lukas-varga	Awaiting Review	documentation, domain: amos formal requirements, domain: env-and-tooling, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/110	Sprint 05		0-independent	5	Part X: AMOS Formal Requirements: Mid-project Release	5
(data acquisition) Error handling in the orchestrator	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/87	lukas-varga, preetvadaliya	Awaiting Review	domain: data pipeline, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/109	Sprint 05		0-independent	5	Part A: Data Acquisition 	
(data acquisition) Extend the "save" functionality of the base-scraper	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/91	preetvadaliya	Awaiting Review	domain: data pipeline, enhancement, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/111	Sprint 05		1-start	5	Part A: Data Acquisition 	
(data) Integrate the podcast scraper into the latest version of the orchestrator	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/61	lukas-varga	Awaiting Review	domain: data pipeline, enhancement, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/105	Sprint 05		1-start	3	Part A: Data Acquisition 	5
Extract blog posts from the website Nutritionfacts	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/24	manikg08	Item Archive	domain: data pipeline, domain: storage, feature, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/77	Sprint 04		0-independent	8	Part A: Data Acquisition 	8
Create system architecture for the app	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/52	EnescuDavid	Item Archive	domain: app backend, domain: app frontend, domain: env-and-tooling, sprint-04	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/97	Sprint 04		0-independent	5	Part C: Mobile App for User-Agent Interaction	5
LangChain - Basic retrival and generation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/39	manikg08, potthoffjan	Sprint Backlog	domain: 3rd-party APIs, domain: data pipeline, domain: storage, feature, sprint-05	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/112	Sprint 05		3-end	8	Part B: LangChain Basic Pipeline for LLM 1	
(data acquisition) Integrate the nutritionfacts blog posts scraper into the new orchestrator structure	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/89	manikg08	Sprint Backlog	domain: data pipeline, enhancement, sprint-05		Sprint 05		0-independent	3	Part A: Data Acquisition 	
(App backend) Setup backend	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/96	EnescuDavid, preetvadaliya	Sprint Backlog	domain: app backend, sprint-05		Sprint 05		0-independent	8	Part C: Mobile App for User-Agent Interaction	
Setup react-native dev-environment	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/92		Product Backlog	domain: app frontend, domain: env-and-tooling, sprint-06		Sprint 06		1-start		Part C: Mobile App for User-Agent Interaction	
Setup and write project documentation in Github wiki	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/82		Product Backlog	documentation, domain: amos formal requirements, sprint-06		Sprint 06		1-start	0	Part X: AMOS Formal Requirements: Mid-project Release	
Implement the appropriate JSON chunking technique	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/106		Product Backlog	domain: data pipeline, domain: storage, sprint-06		Sprint 06		0-independent		Part B: LangChain Basic Pipeline for LLM 1	
Setup a Firebase instance	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/115		Product Backlog	domain: app backend, domain: storage, sprint-06		Sprint 06		2-mid		Part C: Mobile App for User-Agent Interaction	
Write unit tests for orchestrator/config functionality	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/117		Product Backlog	domain: data pipeline, domain: testing, sprint-06		Sprint 06		0-independent			
Implement the LangChain pipeline in Typescript	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/118		Product Backlog	domain: app frontend, sprint-06		Sprint 06		3-end		Part C: Mobile App for User-Agent Interaction	
Setup User Authentication with Firebase Authenticator	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/119		Product Backlog	domain: app backend		Sprint 06		3-end		Part C: Mobile App for User-Agent Interaction	
LangChain - Optimise querying	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/54		Product Backlog	domain: data pipeline, enhancement						Part B Extension 1: LangChain Optimised Pipeline for LLM 1	
{ToBreak} [EPIC](App frontend) Create components for the basic app functionality	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/94		EPICS	domain: app frontend, feature						Part C: Mobile App for User-Agent Interaction	
[EPIC] Create the data pipeline			EPICS								
[EPIC] Data Aquisition			EPICS								
[EPIC] User app UX			EPICS								
[EPIC] User App frontend			EPICS								
[EPIC] User App backend			EPICS								
[EPIC] Data pipeline Optimisations			EPICS								
(Storage) Migration of the podcast transcription and data storage pipeline in GC	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/28	lukas-varga	Product Backlog	domain: data pipeline, domain: env-and-tooling, domain: storage, re-evaluate necessity					8	Part A: Data Acquisition 	
Config - Extend functionality for more scraping tasks	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/35	EnescuDavid	Product Backlog	domain: data pipeline, enhancement, feature, question, re-evaluate necessity				1-start	5	Part A: Data Acquisition 	
Orchestrator - Extend functionality for more scraping tasks	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/36	EnescuDavid	Product Backlog	domain: data pipeline, enhancement, feature, question, re-evaluate necessity				1-start	5	Part A: Data Acquisition 	
Data Pipeline: Create a DB for the personal context of a user (prompt engineering step?)	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/38		Product Backlog	domain: storage, feature, question							
Create logger for the orchestrator			Product Backlog								
(Data) Preprocess / Clean scraped data from website allrecipes to facilitate embeddings generation			Product Backlog								
(Data) Connect the chat model of Gemini via the Google API to the langChain Pipeline (~5)			Product Backlog								
(Data) Create Propt Templates for the model (Gemini) in LangChain			Product Backlog								
(Data) Implement error handling for interactions with the LLM API (Gemini)			Product Backlog								
(Data) Develop a standardised LangChain setup that enables different models to be queried			Product Backlog								
(Data) Change the base LangChain Pipeline to use the OpenAI API (LLM, Chat)			Product Backlog								
(Data) Implement error handling for interactions with the LLM API (OpenAI)			Product Backlog								
(Data) (Data) Change the base LangChain Pipeline that uses the LLama 3 API (LLM, Chat)			Product Backlog								
(Data) Implement error handling for interactions with the LLM API (Llama3)			Product Backlog								
(App frontend): Integrate API calls / fetching to the frontend			Product Backlog								
(App) Create functionality for user to select LLM via the user interface			Product Backlog								
(App frontend) Unit testing			Product Backlog								
(App backend) unit testing			Product Backlog								
(App) Integration testing			Product Backlog								
(App) deployment to GC (?)			Product Backlog								
(data acquisition) [BRAKE] Create multi-platform podcast availability checker	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/99		Optimisations	domain: data pipeline, feature					0	Part A: Data Acquisition 	
LangChain - Optimise Retrieval	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/55		Optimisations	domain: data pipeline, enhancement						Part B Extension 1: LangChain Optimised Pipeline for LLM 1	
LangChain Optimise Generation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/56		Optimisations	domain: data pipeline, enhancement						Part B Extension 1: LangChain Optimised Pipeline for LLM 1	
Extend config functionality to read sources from a file	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/14		Optimisations	enhancement, feature					5	Part A: Data Acquisition 	
Limit results from nutritionfacts to those after 2020			Optimisations								
Formulate product mission	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/70	tubamos	Awaiting Review	domain: amos formal requirements, domain: po		Sprint 05		2-mid	2	Part X: AMOS Formal Requirements: Mid-project Release	
Set Sprint Goal	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/74	Ghemechis, tubamos	Awaiting Review	domain: amos formal requirements, domain: po		Sprint 05		1-start	2	Part X: AMOS Formal Requirements: Mid-project Release	
Formulate the definition done	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/73	Ghemechis, tubamos	Awaiting Review	domain: amos formal requirements, domain: po		Sprint 05		1-start	3	Part X: AMOS Formal Requirements: Mid-project Release	
Create a release plan	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/72	Ghemechis, tubamos	Awaiting Review	domain: amos formal requirements, domain: po		Sprint 05		1-start	3	Part X: AMOS Formal Requirements: Mid-project Release	
Create status update for IP			AMOS								
Preapare the mid-project review presentation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/66	tubamos	AMOS	domain: amos formal requirements, domain: po		Sprint 06		1-start	3	Part X: AMOS Formal Requirements: Mid-project Release	
Preapare final project presentation	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/67	tubamos	AMOS	domain: amos formal requirements, domain: po		Sprint 12		1-start	5	Part X: AMOS Formal Requirements: Final Project Release	
Formulate product vision	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/71	tubamos	Awaiting Review	domain: amos formal requirements, domain: po		Sprint 05		2-mid	2	Part X: AMOS Formal Requirements: Mid-project Release	
Update README.md	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/116	tubamos	Awaiting Review	domain: po, release: sprint-deliverables, sprint-05		Sprint 05		3-end	1	Part X: AMOS Formal Requirements: Mid-project Release	1
Project Setup	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/8	preetvadaliya	Item Archive	domain: env-and-tooling, sprint-02		Sprint 02	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan	1-start	3	Part 0: Setup	3
Create architecture diagram and text description of the diagram	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/15	EnescuDavid, preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02		Sprint 02		0-independent	3	Part X: AMOS formal requirements: Architecture Diagrams	3
Create runtime components diagram and text descripton of the diagram	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/16	eloinoel, manikg08	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02		Sprint 02		0-independent	3	Part X: AMOS formal requirements: Architecture Diagrams	3
Create text description for the tech stack	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/17	preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02		Sprint 02		2-mid	3	Part X: AMOS formal requirements: Architecture Diagrams	3
Review and edit runtime components diagram and text description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/19	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/97	Sprint 02		3-end	3	Part X: AMOS formal requirements: Architecture Diagrams	3
Review and edit architecture diagram and text description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/18	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02	https://github.com/amosproj/amos2024ss06-health-ai-framework/pull/97	Sprint 02		3-end	3	Part X: AMOS formal requirements: Architecture Diagrams	3
Review and edit tech stack description	https://github.com/amosproj/amos2024ss06-health-ai-framework/issues/20	eloinoel, EnescuDavid, lukas-varga, manikg08, potthoffjan, preetvadaliya	Item Archive	documentation, domain: amos formal requirements, domain: po, sprint-02		Sprint 02		3-end	3	Part X: AMOS formal requirements: Architecture Diagrams	3