Title	Assignees	Status
Minimize time expenditure through meetings		In Progress
Set up routine meetup times		In Progress
E-Mail updates instead of in-meeting discussions		In Progress
Shorter fixed time meetings		In Progress
Start working on deliverables early		In Progress
Prepare for Mid-Project review		In Progress
How to deal with mid-sprint changes?		In Progress
Have public agendas for meetings		Done
Define rough time frames for every meeting		Done
Form pair programming teams according to skillsets and motivations		Done
-------------------- divider -------------------- (items below this line still need refinement)		Todo
Establish PR review pattern		Todo
Team members not reading my feedback emails		Todo
Agree on a meeting culture		Done
Pair programming for selected issues only		Done